GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project,com.spboot.project,ProjectApplication,5,3,0,0,2,1,1,1,1,1
project,com.spboot.project,AuthMiddleware,18,87,6,4,4,18,4,3,0,2
project,com.spboot.project.models,Transaksi,71,8,0,0,27,2,19,2,19,2
project,com.spboot.project.models,Pelanggan,21,15,0,0,7,7,6,4,6,4
project,com.spboot.project.models,Jenis,15,14,0,0,5,6,4,4,4,4
project,com.spboot.project.models,Karyawan,13,11,0,0,5,5,4,3,4,3
project,com.spboot.project.models,User,28,3,0,0,12,1,8,1,8,1
project,com.spboot.project.services,KaryawanService,43,3,2,0,10,1,5,1,4,1
project,com.spboot.project.services,PelangganService,43,3,2,0,10,1,5,1,4,1
project,com.spboot.project.services,UserService,79,3,6,0,20,1,8,1,5,1
project,com.spboot.project.services,TransaksiService,43,3,2,0,10,1,5,1,4,1
project,com.spboot.project.services,JenisService,37,9,2,0,8,3,4,2,3,2
project,com.spboot.project.controllers,LogoutController,25,3,0,0,8,1,1,1,1,1
project,com.spboot.project.controllers,RegisterController,41,3,4,0,11,1,4,1,2,1
project,com.spboot.project.controllers,LoginController,55,3,2,0,13,1,3,1,2,1
project,com.spboot.project.controllers,TransaksiController,98,3,0,0,24,1,5,1,5,1
project,com.spboot.project.controllers,PelangganController,44,3,0,0,12,1,5,1,5,1
project,com.spboot.project.controllers,JenisController,38,9,0,0,10,3,4,2,4,2
project,com.spboot.project.controllers,KaryawanController,44,3,0,0,12,1,5,1,5,1
